removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc,algebraic_connectivity_gcc,spectral_gap_ratio_gcc,kirchhoff_index_gcc
0.63,126,0.34,68,7,4.432835820895522,0.11614983724466027,80.20799150115687,5128.502494221639
0.635,127,0.335,67,7,4.425146992311172,0.11572276368990443,80.50373964417088,5088.693201987941
0.64,128,0.33,66,7,4.523076923076923,0.11250752194522076,82.79245207013851,5242.007498820188
0.645,129,0.325,65,7,4.6625,0.09971463299946724,93.06072634877069,5291.758585941523
0.65,130,0.325,65,6,4.6625,0.0997146329994594,93.06072634877069,5291.758585941523
0.655,131,0.32,64,6,4.631448412698413,0.1039929679293329,89.23186197536437,5078.840237624621
0.66,132,0.315,63,6,4.656938044034818,0.10505438142703193,88.31845219275952,5176.5754169794245
0.665,133,0.31,62,6,4.700158646218932,0.1024356430271248,90.57496173936632,5193.689708418909
0.67,134,0.3,60,7,4.740677966101695,0.09786015056815257,85.157530630414,4957.31949990923
0.675,135,0.29,58,8,4.857229280096794,0.08186364903126303,101.7865530812297,5056.634309853532
0.68,136,0.28,56,9,4.723376623376623,0.08311120621468865,100.25862815365706,4511.105271659303
0.685,137,0.265,53,10,4.9252539912917275,0.0536957590504116,155.17959419567276,4399.258808874533
0.69,138,0.26,52,10,4.940422322775264,0.05406659292338044,153.1975849311051,4228.59633202034
0.695,139,0.255,51,10,4.913725490196079,0.05468348060016111,151.46927623864582,4077.169144530801
0.7,140,0.24,48,11,4.882978723404255,0.057080413278032045,145.06251018786102,3680.3272630415977
0.705,141,0.24,48,10,4.882978723404255,0.05708041327803795,145.06251018786102,3680.3272630415977
0.71,142,0.235,47,10,4.840888066604995,0.05749016545129143,144.01479977678648,3457.489898192741
0.715,143,0.225,45,11,4.824242424242424,0.0584373033880141,141.66416350885342,3266.6665315223804
0.72,144,0.22,44,11,5.200845665961945,0.058344909319374215,126.26205907797296,3450.7844995140886
0.725,145,0.215,43,11,5.756367663344408,0.027319160705644337,269.6549261070375,4464.586956521735
0.73,146,0.095,19,15,3.8128654970760234,0.07944669033642396,77.69998869828218,590.4999999999982
0.735,147,0.095,19,14,3.8128654970760234,0.07944669033642411,77.69998869828218,590.4999999999982
0.74,148,0.085,17,15,3.426470588235294,0.1195712390956346,51.62379288674823,415.0000000000003
0.745,149,0.08,16,15,3.525,0.09861489635921891,56.45651561604025,423.0000000000001
0.75,150,0.08,16,15,3.525,0.09861489635922101,56.45651561604025,423.0000000000001
0.755,151,0.08,16,14,3.525,0.09861489635922205,56.45651561604025,423.0000000000001
0.76,152,0.08,16,15,3.525,0.0986148963592188,56.45651561604025,423.0000000000001
0.765,153,0.075,15,15,3.5047619047619047,0.10341908690122249,53.542084066900806,367.99999999999955
0.77,154,0.065,13,16,3.4615384615384617,0.10765153308014652,45.63980024196196,270.0000000000004
0.775,155,0.055,11,17,3.1636363636363636,0.1386937583661329,34.272601374689955,174.00000000000006
0.78,156,0.055,11,16,3.1636363636363636,0.1386937583661321,34.272601374689955,174.00000000000006
0.785,157,0.04,8,17,2.4285714285714284,0.2508824522534795,18.67625212757716,68.00000000000003
0.79,158,0.04,8,18,2.4285714285714284,0.2508824522534788,18.67625212757716,68.00000000000003
